user_ID,video_ID,video_name,tracker
3,7,"['..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Bookcase_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Bookcase_30_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,8,"['..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Bookcase_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Bookcase_15_svp_60.mp4']",No tracking data submitted.
3,9,"['..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BirthdayFlashPart2_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BirthdayFlashPart2_15_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,10,"['..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BirthdayFlashPart2_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BirthdayFlashPart2_30_svp_60.mp4']",No tracking data submitted.
3,11,"['..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BirthdayFlashPart2_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BirthdayFlashPart2_30_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,12,"['..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Bosphorus_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Bosphorus_30_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,13,"['..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\Bosphorus_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\Bosphorus_30.mp4']",No tracking data submitted.
3,14,"['..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BoatPart2_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BoatPart2_30_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,15,"['..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BirthdayFlashPart1_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BirthdayFlashPart1_30_svp_60.mp4']",No tracking data submitted.
3,16,"['..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Bosphorus_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bosphorus_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Bosphorus_15_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,17,"['..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BoatPart2_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BoatPart2_15.mp4']",No tracking data submitted.
